Front,Back
"Need exactly one shared instance everywhere (config, logging, pool).","Singleton — private ctor + static instance + getInstance(). JDK: Runtime.getRuntime(). Trade-off: global state, hard to test, thread-safety care."
"Superclass shouldn't know which concrete class to create; subclasses decide.","Factory Method — abstract createX(); each subclass returns a concrete product. JDK: Calendar.getInstance(). Trade-off: one product type per factory."
"Create families of related objects that must be consistent.","Abstract Factory — factory interface with several createX(); each concrete factory builds one family. JDK: DocumentBuilderFactory. Trade-off: new product changes every factory."
"Object with many optional fields; avoid telescoping constructors.","Builder — chained setters then build() returns immutable object. JDK: StringBuilder. Trade-off: boilerplate."
"Swap an algorithm at runtime.","Strategy — algorithm interface, concrete strategies, context delegates. JDK: Comparator in Collections.sort(). Trade-off: client must know strategies."
"One object changes; many others must be notified.","Observer — subject holds observer list, calls update() on change. JDK: event listeners, Flow. Trade-off: order undefined, leak risk."
"Add behavior to an object dynamically without subclass explosion.","Decorator — wrapper with same interface holds wrapped object. JDK: BufferedReader wrapping FileReader. Trade-off: many wrappers."
"Two incompatible interfaces must work together.","Adapter — implements target interface, translates to adaptee. JDK: Arrays.asList, InputStreamReader. Trade-off: indirection; not for adding behavior."
"Complex subsystem needs one simple entry point.","Facade — single class orchestrates the subsystem. JDK: SLF4J LoggerFactory. Trade-off: can become god-object."
"Stand-in that controls access to another object (lazy/remote/cache/auth).","Proxy — same interface, adds control then delegates. JDK: java.lang.reflect.Proxy, Spring AOP. Trade-off: vs Decorator, Proxy controls access."
"Encapsulate a request as an object (queue, log, undo).","Command — Command.execute(); holds receiver; invoker triggers. JDK: Runnable, Callable. Trade-off: class per command."
"Fixed algorithm skeleton, varying steps.","Template Method — final method sets order, abstract hooks overridden. JDK: AbstractList, InputStream.read(). Trade-off: inheritance, less flexible than Strategy."
"Treat individual objects and groups uniformly (trees).","Composite — leaf and composite share interface; composite holds children. JDK: Swing Component/Container. Trade-off: type safety loosens."
"Traverse a collection without exposing internals.","Iterator — hasNext()/next(). JDK: java.util.Iterator. Trade-off: concurrent modification."
"Behavior changes by internal state; avoid big if/switch.","State — each state a class with common interface; context swaps state. Trade-off: vs Strategy, State transitions itself."
"Factory Method vs Abstract Factory?","Factory Method = one product via inheritance. Abstract Factory = a family of products via composition."
"Strategy vs State?","Same structure. Strategy: client picks algorithm, no self-transition. State: object transitions itself between states."
"Decorator vs Proxy?","Decorator adds behavior; Proxy controls access. Same wrapping structure."
"Adapter vs Decorator?","Adapter changes the interface; Decorator keeps it and adds behavior."
